,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
29,1001467,2,전통시장,우림시장,51288,7906,6808,7329,7660,7870,13713,11022,10617,6346,6984,9849,6470,7084,7001,7093,7017,6984,7900,8210,35179,16110
30,1001466,2,전통시장,미성동도깨비시장,229009,39040,32249,32527,35876,33718,55599,64729,44218,25712,25734,38539,30075,32112,31677,31690,31421,31857,34528,35723,158757,70251
31,1001465,2,전통시장,신신림시장,54686,4691,13765,9335,7422,7012,12461,13485,10142,6111,6289,10643,8014,7685,7689,7696,7660,7693,8030,8233,38423,16263
32,1001464,2,전통시장,삼성동시장,257000,21380,64348,44184,34703,33741,58645,57684,47654,31611,33706,50886,35457,36375,36382,36453,36152,36377,37535,37728,181739,75263
33,1001463,2,전통시장,신림중앙시장,55268,5898,12453,10677,7877,7137,11227,18074,11429,5045,4652,7673,8395,7994,7911,7965,7787,7838,7790,7986,39495,15776
34,1001462,2,전통시장,강남골목시장,226579,13256,47301,53704,39675,32707,39935,70940,47557,21898,22771,32062,31349,33877,34533,33712,34137,33230,28764,28326,169489,57090
35,1001461,2,전통시장,신림종합시장,35056,3226,7417,6906,4923,4617,7967,9130,6621,3921,4244,6380,4760,4814,4792,4900,4848,4793,5343,5565,24147,10908
36,1001460,2,전통시장,관악신사시장,473139,37729,113343,93905,61728,64387,102047,147710,98216,44660,44321,69756,68476,66967,66112,66428,66200,65523,69306,72604,331230,141910
37,1001459,2,전통시장,신원시장,994427,59859,287616,202096,130548,125904,188403,192609,169212,117029,137152,227544,150881,136190,135667,138984,137086,139162,155953,151385,687089,307338
38,1001458,2,전통시장,인헌시장,331582,32142,71230,66606,45403,44075,72124,65668,56632,39638,46610,74883,48151,46855,46122,46838,46581,46234,49886,49065,232630,98951
39,1001457,2,전통시장,봉천중앙시장,56738,5708,12696,10048,7757,7494,13035,7586,11142,9229,9912,13111,5760,7954,8023,8073,7985,8226,8511,7966,40261,16477
40,1001456,2,전통시장,봉천현대시장,75411,13852,9560,12872,12498,9119,17510,13207,13421,10951,12201,17109,8522,10343,10180,10270,10205,10334,12266,11813,51332,24079
41,1001455,2,전통시장,봉일시장,125394,14527,22926,21977,19567,18023,28374,23533,21568,15408,18090,28469,18325,17648,17354,17717,17413,17561,18788,18915,87693,37703
42,1001454,2,전통시장,봉천제일종합시장,87549,7968,25446,16450,10197,9799,17691,23934,18155,9268,9215,14783,12193,12121,12036,12215,12266,12146,12701,14062,60784,26763
43,1001453,2,전통시장,낙성대시장,204671,23313,61761,39709,25869,21830,32189,45328,39003,25135,26031,43081,26094,27811,27865,28641,28026,28606,31851,31874,140949,63725
44,1001452,2,전통시장,중부시장,252439,41566,40376,38284,37390,32178,62646,45188,50209,38023,40229,50569,28221,36002,36013,35904,36056,36811,36273,35381,180786,71654
45,1001451,2,전통시장,사당시장,39158,4016,6949,7294,6383,5004,9512,7977,7706,5191,5762,7875,4647,5470,5463,5534,5545,5490,5855,5803,27502,11658
46,1001450,2,전통시장,남성역골목시장,355491,43792,53779,59821,59130,48329,90639,71818,65454,41896,44690,75837,55796,49641,49895,49716,49583,50269,53311,53075,249104,106386
47,1001449,2,전통시장,남성사계시장,700347,120952,89320,100582,98582,108387,182525,104074,120809,102048,116965,166324,90129,97960,97271,97065,97091,99730,105652,105576,489117,211228
48,1001448,2,전통시장,흑석시장,303376,34239,53555,44878,45224,44537,80941,50219,58767,45166,48449,64548,36228,44563,44618,44353,44669,44852,42217,38105,223055,80322
49,1001447,2,전통시장,상도4동도깨비골목시장,429896,54824,65567,74365,61021,62525,111595,116257,85250,46867,46912,73090,61519,60253,60395,60796,60073,59960,63241,65180,301477,128421
50,1001446,2,전통시장,성대시장,61511,7100,10167,9874,9159,8812,16399,8801,10002,8388,10181,15526,8614,8729,8585,8735,8657,8782,9230,8793,43488,18023
51,1001445,2,전통시장,영도시장,33770,5719,4730,5238,5468,4702,7915,4434,6200,5779,6535,7688,3132,4796,4793,4776,4812,4834,5110,4648,24011,9758
52,1001444,2,전통시장,상도전통시장,514332,74026,93854,68294,68103,73702,136353,122550,104090,60167,65787,95998,65738,71287,70296,70388,71749,71321,79335,79957,355041,159292
53,1001443,2,전통시장,강남시장_동작,45545,7138,10308,5723,6179,5959,10238,13601,7928,4842,5431,7974,5767,6482,6214,6169,6214,6281,7034,7150,31360,14184
54,1001442,2,전통시장,신노량진시장,24451,1580,3736,4317,3308,4094,7415,6062,4758,2756,2941,4543,3393,3452,3435,3453,3450,3465,3552,3646,17255,7198
55,1001441,2,전통시장,본동인정시장,157830,20467,26042,29237,24339,21831,35914,31273,32427,22808,23294,30444,17584,21589,21445,21958,21818,21778,24278,24968,108588,49246
56,1001440,2,전통시장,노량진중앙시장,163505,9806,69141,37248,15602,12714,18994,33948,30277,23099,24008,32494,19678,23630,23972,24289,23932,24220,22640,20820,120043,43460
57,1001439,2,전통시장,대림중앙시장,137642,9261,13202,21528,23175,32355,38122,39944,26970,14850,14924,22800,18155,19028,18723,18682,18631,19320,20650,22609,94384,43259
