,상권코드,분기,상권구분,상권명,서비스업종,점포수,분기당매출,주중매출금액,주말매출금액,10대매출,20대매출,30대매출,40대매출,50대매출,60대이상매출,00~06매출,06~11매출,11~14매출,14~17매출,17~21매출,21~24매출
13425,1001153,2,발달상권,당산역_1,한식음식점,21,2313143768,1804624956,508518812,10186804,341732678,518631420,393696950,373633482,198433827,0,18014222,456080916,172769284,1211649283,454630063
13426,1001152,2,발달상권,서울 광진구 강변역,한식음식점,39,1130766374,901282993,229483381,3280277,155552033,271766229,213630907,164753361,128922880,0,7604617,742587198,193904216,180803934,5866409
13427,1001151,2,발달상권,용산 전자상가_3,한식음식점,20,450489738,424696156,25793582,44618,28976038,64811678,81680244,50852061,30156455,0,9922421,254951690,22640851,122150026,40824750
13428,1001150,2,발달상권,서울 용산구 이태원역,한식음식점,44,1937638080,1308082460,629555620,8798019,551261415,451293400,243119097,221169342,106244037,5848651,29834144,302483795,151083524,986657065,461730901
13429,1001149,2,발달상권,한남오거리,한식음식점,49,3848847973,2840264969,1008583004,6195121,784847546,956665260,596102285,532692623,273434523,8397289,68267457,531750128,253924390,1896701233,1089807476
13430,1001148,2,발달상권,목동사거리,한식음식점,12,496711216,332802096,163909120,303599,50400813,101598155,131691694,117695029,52085932,0,8735169,68465819,40041701,281216284,98252243
13431,1001147,2,발달상권,용산 전자상가_2,한식음식점,4,312525982,311579985,945997,0,33080207,29307936,19715698,2337480,346732,63066,147155,31832070,117737969,162745722,0
13432,1001146,2,발달상권,용산구청,한식음식점,3,395691843,289592710,106099133,116392,43937250,72084315,49214312,61320155,61808474,2806374,3221947,139312432,44739562,117900506,87711022
13433,1001145,2,발달상권,용산 전자상가_1,한식음식점,42,1502137356,1140122118,362015238,8964265,234150810,325608962,242736836,179391095,97298332,0,7139965,731819226,254192285,403225652,105760228
13434,1001144,2,발달상권,국회의사당역_2,한식음식점,169,14669256298,12980358647,1688897651,7759699,1019681226,2346854148,2124526577,1676820119,851931498,2682071,221338970,7319398438,743821877,4795868446,1586146496
13435,1001143,2,발달상권,서울 용산구 신용산역,한식음식점,36,5372387636,4407379212,965008424,4139683,765493724,1299282046,710984526,509134613,294798884,297644,83126009,1301583968,253108842,2614931201,1119339972
13436,1001142,2,발달상권,국회의사당역_1,한식음식점,42,2111616193,2028329701,83286492,433732,141342899,346817743,384342995,391214204,102387151,0,32453705,1185813572,127807159,586631055,178910702
13437,1001141,2,발달상권,압구정 로데오거리_2,한식음식점,160,13240873051,9727920234,3512952817,88758716,3479187342,3564340103,1570720870,1133923705,665652801,66472290,39857195,2836968143,1305479968,5538971741,3453123714
13438,1001140,2,발달상권,서울 강남구 압구정역,한식음식점,82,6600575604,5102922142,1497653462,24948120,606916488,1123129068,1057952924,894794712,961743401,7987693,56770893,2396262693,766734750,2442815641,930003934
13439,1001139,2,발달상권,서울 영등포구 영등포구청역,한식음식점,78,6037109378,4763725502,1273383876,16542197,900732366,1349270868,1167837686,1022607118,763632287,70682757,159619606,1033020324,539084755,3035202185,1199499751
13440,1001138,2,발달상권,압구정 로데오거리_1,한식음식점,32,3032359847,2442475400,589884447,1502383,242801747,648126587,499018127,246037528,157258319,1119040,6176280,391316805,192733062,1347309222,1093705438
13441,1001137,2,발달상권,서울 강동구 둔촌동역,한식음식점,41,1033543058,690131530,343411528,3607354,106158232,155611341,186781104,304424333,158595732,4581285,7106426,182803212,121125459,554843023,163083653
13442,1001136,2,발달상권,오목교역,한식음식점,27,4408808067,2844911797,1563896270,71320279,928355236,934646206,930786969,659733642,224787306,17796389,95659912,341722522,292565933,2408512536,1252550775
13443,1001135,2,발달상권,신사동 가로수길,한식음식점,233,17824348827,13630745950,4193602877,113481615,4419637251,4143625442,2404704077,2018187544,1100744813,32799217,78842152,3387491622,1302146433,8185426843,4837642560
13444,1001134,2,발달상권,서울 영등포구 여의도역_2,한식음식점,132,16317780819,14574884031,1742896788,21299025,1507774380,2670779364,1916489981,1147630904,445115601,15075642,123030374,6539130471,740995977,6563943640,2335604715
13445,1001133,2,발달상권,청담사거리_3,한식음식점,31,3818656946,2920716692,897940254,3556676,470230906,748552516,556453325,496712549,296131958,581551,11384708,499708751,215106532,2087135719,1004739685
13446,1001132,2,발달상권,영등포유통상가,한식음식점,34,939490667,836288924,103201743,1587232,119377599,186928476,154605538,139810646,93683308,1218489,4013119,354496185,61915823,372785801,145061250
13447,1001131,2,발달상권,청담역_2,한식음식점,13,1000367480,823355730,177011750,3266634,86796735,183510904,220169467,147773801,115927122,0,6996611,339207715,76664385,466130681,111368088
13448,1001130,2,발달상권,청담역_1,한식음식점,13,1352105216,1022803933,329301283,2111279,115599030,290704258,235307923,188530911,125489858,0,62846998,460980279,120554928,519790392,187932619
13449,1001129,2,발달상권,청담사거리_2,한식음식점,11,1856747738,1391637617,465110121,1685074,205729651,376888365,339966487,241184292,111511429,32637207,126809423,491943679,220095375,697663887,287598167
