,행정동코드,시군구명,행정동명
208,11440600,마포구,대흥동
209,11440610,마포구,염리동
210,11440630,마포구,신수동
211,11440660,마포구,서교동
212,11440680,마포구,합정동
213,11440690,마포구,망원1동
214,11440700,마포구,망원2동
215,11440710,마포구,연남동
216,11440720,마포구,성산1동
217,11440730,마포구,성산2동
218,11440740,마포구,상암동
219,11440585,마포구,도화동
220,11440655,마포구,서강동
221,11440565,마포구,공덕동
222,11440555,마포구,아현동
223,11470510,양천구,목1동
224,11470520,양천구,목2동
225,11470530,양천구,목3동
226,11470540,양천구,목4동
227,11470560,양천구,신월1동
228,11470570,양천구,신월2동
229,11470580,양천구,신월3동
230,11470590,양천구,신월4동
231,11470600,양천구,신월5동
232,11470610,양천구,신월6동
233,11470611,양천구,신월7동
234,11470620,양천구,신정1동
235,11470630,양천구,신정2동
236,11470640,양천구,신정3동
237,11470670,양천구,신정6동
238,11470680,양천구,신정7동
239,11470550,양천구,목5동
240,11470650,양천구,신정4동
241,11500510,강서구,염창동
242,11500520,강서구,등촌1동
243,11500530,강서구,등촌2동
244,11500535,강서구,등촌3동
245,11500590,강서구,화곡본동
246,11500550,강서구,화곡2동
247,11500560,강서구,화곡3동
248,11500570,강서구,화곡4동
249,11500591,강서구,화곡6동
250,11500593,강서구,화곡8동
251,11500603,강서구,가양1동
252,11500604,강서구,가양2동
253,11500605,강서구,가양3동
254,11500611,강서구,발산1동
255,11500620,강서구,공항동
256,11500630,강서구,방화1동
257,11500640,강서구,방화2동
258,11500641,강서구,방화3동
259,11500540,강서구,화곡1동
260,11500615,강서구,우장산동
261,11530510,구로구,신도림동
262,11530520,구로구,구로1동
263,11530540,구로구,구로3동
264,11530550,구로구,구로4동
265,11530560,구로구,구로5동
266,11530720,구로구,고척1동
267,11530730,구로구,고척2동
268,11530750,구로구,개봉2동
269,11530760,구로구,개봉3동
270,11530770,구로구,오류1동
271,11530780,구로구,오류2동
272,11530790,구로구,수궁동
273,11530595,구로구,가리봉동
274,11530530,구로구,구로2동
275,11530740,구로구,개봉1동
276,11545510,금천구,가산동
277,11545610,금천구,독산1동
278,11545620,금천구,독산2동
279,11545630,금천구,독산3동
280,11545640,금천구,독산4동
281,11545670,금천구,시흥1동
282,11545680,금천구,시흥2동
283,11545690,금천구,시흥3동
284,11545700,금천구,시흥4동
285,11545710,금천구,시흥5동
286,11560540,영등포구,여의동
287,11560550,영등포구,당산1동
288,11560560,영등포구,당산2동
289,11560610,영등포구,양평1동
290,11560620,영등포구,양평2동
291,11560630,영등포구,신길1동
292,11560650,영등포구,신길3동
293,11560660,영등포구,신길4동
294,11560670,영등포구,신길5동
295,11560680,영등포구,신길6동
296,11560690,영등포구,신길7동
297,11560700,영등포구,대림1동
298,11560710,영등포구,대림2동
