,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
43,1001453,2,전통시장,낙성대시장,204671,23313,61761,39709,25869,21830,32189
44,1001452,2,전통시장,중부시장,252439,41566,40376,38284,37390,32178,62646
45,1001451,2,전통시장,사당시장,39158,4016,6949,7294,6383,5004,9512
46,1001450,2,전통시장,남성역골목시장,355491,43792,53779,59821,59130,48329,90639
47,1001449,2,전통시장,남성사계시장,700347,120952,89320,100582,98582,108387,182525
48,1001448,2,전통시장,흑석시장,303376,34239,53555,44878,45224,44537,80941
49,1001447,2,전통시장,상도4동도깨비골목시장,429896,54824,65567,74365,61021,62525,111595
50,1001446,2,전통시장,성대시장,61511,7100,10167,9874,9159,8812,16399
51,1001445,2,전통시장,영도시장,33770,5719,4730,5238,5468,4702,7915
52,1001444,2,전통시장,상도전통시장,514332,74026,93854,68294,68103,73702,136353
53,1001443,2,전통시장,강남시장_동작,45545,7138,10308,5723,6179,5959,10238
54,1001442,2,전통시장,신노량진시장,24451,1580,3736,4317,3308,4094,7415
55,1001441,2,전통시장,본동인정시장,157830,20467,26042,29237,24339,21831,35914
56,1001440,2,전통시장,노량진중앙시장,163505,9806,69141,37248,15602,12714,18994
57,1001439,2,전통시장,대림중앙시장,137642,9261,13202,21528,23175,32355,38122
58,1001438,2,전통시장,우리시장,303637,33298,33540,51144,47052,49683,88920
59,1001437,2,전통시장,영진시장A동,67112,11059,8677,11872,10866,10211,14428
60,1001436,2,전통시장,사러가시장,89316,11726,11214,13488,14966,15088,22836
61,1001435,2,전통시장,대신시장,103913,14578,12721,15706,17034,16054,27821
62,1001434,2,전통시장,양남시장,29310,2230,4801,6774,6079,4428,4999
63,1001433,2,전통시장,영일시장,335885,26281,70239,79432,61192,48228,50513
64,1001432,2,전통시장,도림시장,21290,2229,3210,3966,3450,3499,4936
65,1001431,2,전통시장,영등포청과시장,143834,17428,20788,27776,22968,21400,33475
66,1001430,2,전통시장,영등포전통시장,1062581,50374,271055,227258,151765,164547,197582
67,1001429,2,전통시장,은행나무시장,131039,18590,14910,16709,19885,21624,39322
68,1001428,2,전통시장,박미시장,20762,2772,2360,3570,3474,3600,4986
69,1001427,2,전통시장,현대시장,584730,60423,76173,82236,89021,104698,172178
70,1001426,2,전통시장,대명시장,22681,2571,3191,3128,3405,4043,6343
71,1001425,2,전통시장,푸른터시장,68953,6749,10761,14379,11485,11936,13645
72,1001424,2,전통시장,남문시장,263588,20113,36061,45001,41435,52501,68476
73,1001423,2,전통시장,독산동 우시장,120336,11443,20608,25404,20485,20844,21552
74,1001422,2,전통시장,오류시장,57185,6158,12371,11509,7612,8074,11462
75,1001421,2,전통시장,개봉중앙시장,54225,9412,7182,7584,8149,8617,13279
76,1001420,2,전통시장,고척근린시장,160041,24110,17175,19016,23470,27687,48583
77,1001419,2,전통시장,가리봉시장,160177,3612,29563,32255,29806,33429,31511
78,1001418,2,전통시장,남구로시장,541177,38160,50127,71195,94144,107250,180300
79,1001417,2,전통시장,구로시장,59806,4659,8091,10579,10587,10238,15653
80,1001416,2,전통시장,공항시장,57350,4185,12076,11590,8719,8820,11962
81,1001415,2,전통시장,방신전통시장,237511,35159,24230,38490,33420,38580,67634
82,1001414,2,전통시장,송화골목시장,199069,56517,20135,22480,33951,24485,41501
83,1001413,2,전통시장,까치산시장,1046592,107715,171218,193806,164506,147565,261783
84,1001412,2,전통시장,화곡본동시장,164468,24687,23273,29374,26006,21645,39483
85,1001411,2,전통시장,남부골목시장,406436,53582,46210,62247,63587,62853,117957
86,1001410,2,전통시장,대원종합시장,42982,6870,5152,6377,6567,6498,11517
87,1001409,2,전통시장,화곡중앙골목시장,226930,37844,26398,34744,33310,32610,62022
88,1001408,2,전통시장,신월중앙시장,31682,4503,5333,5820,5553,4453,6021
89,1001407,2,전통시장,등마루시장,37910,5761,5675,8345,6232,4621,7277
90,1001406,2,전통시장,신정3동골목시장,228185,43356,24788,25322,38888,39127,56706
91,1001405,2,전통시장,신정2동골목시장,240003,51214,29573,25450,39841,39327,54598
92,1001404,2,전통시장,신정제일시장,22466,3636,2881,3090,3796,3661,5402
93,1001403,2,전통시장,신월7동골목시장,60114,8060,6131,6784,9339,10047,19753
