,분기,광역상권,하위상권,임대료,공실률,투자수익률,소득수익률,자본수익률
5,1,도심(시내),명동,225.0,38.4,0.2,0.45,-0.25
4,1,도심(시내),동대문,45.1,11.5,1.54,0.69,0.85
18,1,강남,압구정동,47.3,10.3,1.88,0.61,1.27
56,1,기타,잠실새내역,37.2,11.0,2.04,0.66,1.38
2,1,도심(시내),광화문,78.4,23.0,1.53,0.77,0.76
43,1,기타,사당,56.9,5.3,1.41,0.79,0.62
51,1,기타,오류동역,49.5,4.6,2.13,0.98,1.16
52,1,기타,왕십리,41.7,3.3,1.97,0.76,1.21
53,1,기타,용산역,25.0,13.3,1.35,0.53,0.82
54,1,기타,이태원,58.6,22.6,1.81,0.49,1.32
55,1,기타,잠실송파,43.6,12.3,1.81,0.53,1.28
58,1,기타,천호,44.0,4.6,1.91,0.81,1.1
57,1,기타,장안동,32.1,10.2,1.82,0.65,1.17
59,1,기타,청량리,46.2,6.1,1.81,0.73,1.08
60,1,기타,혜화동,63.6,10.8,1.44,0.62,0.82
35,1,기타,구로디지털단지역,45.1,2.5,1.83,0.8,1.03
49,1,기타,신림역,66.0,3.7,2.03,0.91,1.12
50,1,기타,연신내,44.5,3.2,1.41,0.87,0.54
48,1,기타,숙명여자대학교,39.6,2.6,1.76,0.47,1.29
34,1,기타,경희대학교,44.7,3.1,1.95,0.73,1.22
47,1,기타,수유,49.6,3.7,2.06,0.91,1.15
46,1,기타,성신여자대학교,46.7,13.1,1.45,0.9,0.55
45,1,기타,서울대입구역,77.0,5.5,2.26,1.0,1.26
44,1,기타,상계역,26.8,0.9,2.31,0.84,1.47
33,1,기타,건대입구,69.3,4.7,1.82,0.66,1.16
42,1,기타,불광역,36.1,11.1,1.29,0.88,0.41
41,1,기타,미아사거리,41.1,5.5,2.13,0.85,1.28
40,1,기타,목동,33.0,4.9,1.86,0.85,1.01
39,1,기타,뚝섬,36.3,1.3,2.19,0.59,1.61
38,1,기타,독산시흥,28.9,8.9,2.15,0.71,1.44
37,1,기타,노량진,49.1,6.2,1.42,0.88,0.54
36,1,기타,군자,34.7,4.8,1.91,0.72,1.18
0,1,서울,서울,52.3,8.9,1.81,0.73,1.07
